Unnamed: 0,Date,User,Tweet,Location,ppt
324,2023-03-24 17:11:45+00:00,AlexMatutes,pembangunan berkembang pesat berkat bapak  Kebijakan Presiden  Ganjar Terbukti Mampu meningkatkan Kualitas SDM Tanah Air  http #GanjarHebat,Buahbatu Bandung,"['bangun', 'kembang', 'pesat', 'berkat', 'bapak', 'bijak', 'presiden', 'ganjar', 'bukti', 'mampu', 'tingkat', 'kualitas', 'sdm', 'tanah', 'air', 'http', 'ganjarhebat']"
325,2023-03-24 17:11:05+00:00,ismet1980,Kami sangat puas terhadap kinerja presiden  Ganjar  Pembangunan di Indonesia lebih baik di era pemerintahan Presiden  Ganjar   #GanjarHebat,Cikutra Bandung,"['kami', 'sangat', 'puas', 'kerja', 'presiden', 'ganjar', 'bangun', 'indonesia', 'lebih', 'baik', 'era', 'perintah', 'presiden', 'ganjar', 'ganjarhebat']"
326,2023-03-24 17:10:19+00:00,DeandraErwin,"Terlebih, keduanya (Prabowo dan Ganjar) memiliki elektabilitas yang tinggi di berbagai hasil survei.capres2024 pemilu2024 dekade08 terusmajubersamaprabowo mendingprabowo

Tetap Pilih Prabowo
Berjuanglah Prabowo

@prabowo @gerindra",Tangerang,"['lebih', 'dua', 'prabowo', 'ganjar', 'milik', 'elektabilitas', 'tinggi', 'bagai', 'hasil', 'survei', 'capres2024', 'pemilu2024', 'dekade08', 'terusmajubersamaprabowo', 'mendingprabowo', 'tetap', 'pilih', 'prabowo', 'juang', 'prabowo', 'prabowo', 'gerindra']"
327,2023-03-24 16:41:22+00:00,AlexMatutes,Ganjar Presiden terbaik yang selalu mementingkan memprioritaskan kemajuan rakyat indonesia  Kami Sangat Mendukung Segala Kebi #GanjarHebat,Buahbatu Bandung,"['ganjar', 'presiden', 'baik', 'selalu', 'penting', 'prioritas', 'maju', 'rakyat', 'indonesia', 'kami', 'sangat', 'dukung', 'segala', 'kebi', 'ganjarhebat']"
328,2023-03-24 16:41:00+00:00,650Juarez1,Mari Kita dukung Pemerintahan  Ganjar yang terbukti bekerja untuk masyarakat Indonesia  Kebijakan Pemerintah sangat memperhati #GanjarHebat,Hegarmanah Bandung,"['mari', 'kita', 'dukung', 'perintah', 'ganjar', 'bukti', 'kerja', 'masyarakat', 'indonesia', 'bijak', 'perintah', 'sangat', 'perhati', 'ganjarhebat']"
329,2023-03-24 16:11:28+00:00,AlexMatutes,Kami sangat mendukung pemerintahan Pak  Ganjar  Masyarakat sangat mengapresiasi keberhasilan presiden  Ganjar  https://twitter #GanjarHebat,Buahbatu Bandung,"['kami', 'sangat', 'dukung', 'perintah', 'pak', 'ganjar', 'masyarakat', 'sangat', 'apresiasi', 'hasil', 'presiden', 'ganjar', 'https', 'twitter', 'ganjarhebat']"
330,2023-03-24 15:47:18+00:00,ganjaaar,Nuhun sib..abi tibra gugah saur,"Tasikmalaya, Jawa Barat","['nuhun', 'sib', 'abi', 'tibra', 'gugah', 'saur']"
331,2023-03-24 15:41:00+00:00,650Juarez1,"Pemerintahan  Ganjar bagus sekali, terdepan dalam mensejahterakan masyarakat  Bangga dengan keberhasilan pemerintah  https://t #GanjarHebat",Hegarmanah Bandung,"['perintah', 'ganjar', 'bagus', 'sekali', 'depan', 'sejahtera', 'masyarakat', 'bangga', 'hasil', 'perintah', 'https', 't', 'ganjarhebat']"
332,2023-03-24 15:41:00+00:00,AdrianEstwick,Kami masyarakat Kalimantan Tengah menyukai sosok pemimpin yang bekerja dengan nyata seperti Presiden  Ganjar  Bersama Presiden #GanjarHebat,Batununggal Bandung,"['kami', 'masyarakat', 'kalimantan', 'tengah', 'suka', 'sosok', 'pimpin', 'kerja', 'nyata', 'presiden', 'ganjar', 'sama', 'presiden', 'ganjarhebat']"
333,2023-03-24 14:41:18+00:00,alhassen3211,"Indonesia semakin maju dengan kebijakan Pemerintahan Presiden  Ganjar   Ganjar Bapak Pembangunan Terbaik, Semoga Kalimantan Te #GanjarHebat",antapani Bandung,"['indonesia', 'makin', 'maju', 'bijak', 'perintah', 'presiden', 'ganjar', 'ganjar', 'bapak', 'bangun', 'baik', 'moga', 'kalimantan', 'te', 'ganjarhebat']"
334,2023-03-24 14:41:09+00:00,koalatronix,"Kemajuan bisa tercipta dengan kebersamaan, warga Sumatera Selatan dukung Pak  Ganjar  Sumatera Selatan Mendukung kebijaka #GanjarPresidenku",pangalengan bandung,"['maju', 'cipta', 'sama', 'warga', 'sumatera', 'selatan', 'dukung', 'pak', 'ganjar', 'sumatera', 'selatan', 'dukung', 'kebijaka', 'ganjarpresidenku']"
335,2023-03-24 14:41:01+00:00,650Juarez1,Kerja Nyata Presiden  Ganjar Dalam Membangun Infrastruktur di Sumatera Selatan!!  Kerja Keras Dan Bukti Nyata Kinerja Pak  Gan #GanjarHebat,Hegarmanah Bandung,"['kerja', 'nyata', 'presiden', 'ganjar', 'dalam', 'bangun', 'infrastruktur', 'sumatera', 'selatan', 'kerja', 'keras', 'dan', 'bukti', 'nyata', 'kerja', 'pak', 'gan', 'ganjarhebat']"
336,2023-03-24 14:41:01+00:00,AdrianEstwick,Kami sangat mendukung pemerintahan Pak  Ganjar  Masyarakat sangat mengapresiasi keberhasilan presiden  Ganjar  https://twitter #GanjarHebat,Batununggal Bandung,"['kami', 'sangat', 'dukung', 'perintah', 'pak', 'ganjar', 'masyarakat', 'sangat', 'apresiasi', 'hasil', 'presiden', 'ganjar', 'https', 'twitter', 'ganjarhebat']"
337,2023-03-24 14:10:39+00:00,gondoku3,Restu untuk maju Capres dan Cawapres : Prabowo Subianto dan Ganjar Pranowo sebagai pelunasan hutang PDIP kepada Gerindra tahun 2019 di Batu Tulis  Bogor sebaiknya di tunaikan.,"Jakarta Selatan, DKI Jakarta","['restu', 'maju', 'capres', 'cawapres', 'prabowo', 'subianto', 'ganjar', 'pranowo', 'lunas', 'hutang', 'pdip', 'gerindra', 'tahun', '2019', 'batu', 'tulis', 'bogor', 'baik', 'tunai']"
338,2023-03-24 13:49:56+00:00,gunasatwam,"tau2 ganjar keluar pdip ya, terus puan yang naik. duaarrrrrrrr",Indonesia,"['tau2', 'ganjar', 'keluar', 'pdip', 'ya', 'terus', 'puan', 'naik', 'duaarrrrrrrr']"
339,2023-03-24 13:45:51+00:00,Julfiarmen70,Prabowo kini sudah di depan gawang lawan...lalu memberikan umpan terobosan ke Ganjar namun sayang Ganjar di sliding tackle pemain israel di dalam kotak pinalti...tendangan penalti untuk Indonsia siapakah algojo nya...Prabowo atau Ganjar? Hanya saya yang tau.,"DKI Jakarta, Indonesia","['prabowo', 'kini', 'depan', 'gawang', 'lawan', 'lalu', 'beri', 'umpan', 'terobos', 'ganjar', 'sayang', 'ganjar', 'sliding', 'tackle', 'main', 'israel', 'kotak', 'pinalti', 'tendang', 'penalti', 'indonsia', 'siapa', 'algojo', 'nya', 'prabowo', 'ganjar', 'hanya', 'tau']"
340,2023-03-24 13:41:31+00:00,AlexMatutes,Ganjar berhasil melewati Tahun Tahun Sulit di Indonesia  Prestasi  Ganjar diakuin Dunia antara lain Infrastruktur dan Ekonomi #GanjarHebat,Buahbatu Bandung,"['ganjar', 'hasil', 'lewat', 'tahun', 'tahun', 'sulit', 'indonesia', 'prestasi', 'ganjar', 'diakuin', 'dunia', 'infrastruktur', 'ekonomi', 'ganjarhebat']"
