Unnamed: 0,Date,User,Tweet,Location,ppt
195,2022-05-27 13:33:21+00:00,didietmaulana,Mendoakan agar Ananda Eril diberikan selamat. Kami berdoa utk Kang Emil dan Teh Lia sekeluarga agar selalu dilindungi oleh Allah SWT. @ridwankamil,Jakarta Capital Region,"['doa', 'ananda', 'eril', 'beri', 'selamat', 'kami', 'doa', 'utk', 'kang', 'emil', 'teh', 'lia', 'keluarga', 'selalu', 'lindung', 'allah', 'swt', 'ridwankamil']"
196,2022-05-27 11:23:09+00:00,fazafaiz,"Pantengin twitter hanya untuk ngecek updet terkini pak gub asli @ridwankamil, semoga lekas ketemu dalam keadaan sehat wal afiat.",Indonesia,"['pantengin', 'twitter', 'ngecek', 'updet', 'kini', 'pak', 'gub', 'asli', 'ridwankamil', 'moga', 'lekas', 'ketemu', 'ada', 'sehat', 'wal', 'afiat']"
197,2022-05-27 11:00:28+00:00,iriantililis,"Demi Allah, kesedihanku setara denganmu pak @ridwankamil , semoga Allah SWT Penguasa Jagat Semesta memberikan keajaiban..aamiin Allohuma aamiin
Ya Allah
Kang Emil 
Eril 
Al Fatihah 
#sedih",Ciamis Jabar ,"['demi', 'allah', 'sedih', 'tara', 'dengan', 'pak', 'ridwankamil', 'moga', 'allah', 'swt', 'kuasa', 'jagat', 'semesta', 'beri', 'ajaib', 'aamiin', 'allohuma', 'aamiin', 'ya', 'allah', 'kang', 'emil', 'eril', 'al', 'fatihah', 'sedih']"
198,2022-05-27 10:58:52+00:00,AinunSuciati,"Gimanapun w ngerasaain pas beliau jadi walkot Bandung aman banget, bagus, bersih, cantik. Sampe ga mau pulang ke kampung betah di Bandung. 

Pas ngedenger anak beliau hilang di Swiss, kaget dan sedih. Semoga Eril lekas ketemu, dalam keadaan sehat kembali ya pak @ridwankamil",,"['gimanapun', 'w', 'ngerasaain', 'pas', 'beliau', 'jadi', 'walkot', 'bandung', 'aman', 'banget', 'bagus', 'bersih', 'cantik', 'sampe', 'ga', 'mau', 'pulang', 'kampung', 'betah', 'bandung', 'pas', 'ngedenger', 'anak', 'beliau', 'hilang', 'swiss', 'kaget', 'sedih', 'moga', 'eril', 'lekas', 'ketemu', 'ada', 'sehat', 'pak', 'ridwankamil']"
199,2022-05-27 10:29:35+00:00,thendendyyy,"Nungguin kabar anak kang emil @ridwankamil masih belum ada update ya?

Semoga segera ada kabar baik dan eril bisa pulang sehat wal afiat.",Indonesia,"['nungguin', 'kabar', 'anak', 'kang', 'emil', 'ridwankamil', 'update', 'ya', 'moga', 'segera', 'kabar', 'baik', 'eril', 'pulang', 'sehat', 'wal', 'afiat']"
200,2022-05-27 09:57:44+00:00,berry_bellamy,"Doa terbaik untuk eril putra dari bapak @ridwankamil ,,dan semoga keluarga diberikan kesabaran dan ketabahan.","Bandung, Jawa Barat","['doa', 'baik', 'eril', 'putra', 'bapak', 'ridwankamil', 'dan', 'moga', 'keluarga', 'beri', 'sabar', 'tabah']"
201,2022-05-27 09:24:16+00:00,dayatpiliang,"semoga lekas ada kabar baik ya, pak @ridwankamil",Medan,"['moga', 'lekas', 'kabar', 'baik', 'ya', 'pak', 'ridwankamil']"
202,2022-05-27 08:48:20+00:00,MilnaNona,"Semoga eril ananda dari @ridwankamil segera di temukan dalam keadaan selamat, aamiin",,"['moga', 'eril', 'ananda', 'ridwankamil', 'segera', 'temu', 'ada', 'selamat', 'aamiin']"
203,2022-05-27 07:55:43+00:00,Sar_tikaaa,"Masih berharap Eril dpt ditemukan dengan selamat. Kok sedih bgt yah denger berita begini. Ya Tuhan tolong bantu tim sar yg membantu pencarian, dan kuatkan keluarganya kang emil. @ridwankamil 😭🙏","Jakarta Utara, DKI Jakarta","['masih', 'harap', 'eril', 'dpt', 'temu', 'selamat', 'kok', 'sedih', 'bgt', 'yah', 'denger', 'berita', 'begini', 'ya', 'tuhan', 'bantu', 'tim', 'sar', 'yg', 'bantu', 'cari', 'kuat', 'keluarga', 'kang', 'emil', 'ridwankamil']"
204,2022-05-27 07:47:16+00:00,m_ikhwanulmus,Doa terbaik untuk A Eril putra dari Kang Emil @ridwankamil Semoga segera ditemukan dalam kondisi sehat dan selamat. Amin,"Tabanan, Indonesia","['doa', 'baik', 'a', 'eril', 'putra', 'kang', 'emil', 'ridwankamil', 'moga', 'segera', 'temu', 'kondisi', 'sehat', 'selamat', 'amin']"
